yd;tdta;reta;opita;ebita;lsls;lta;gempl;invsls;nwcta;cacl;qacl;fata;ltdta;mveltd
0;0,6027546;0,1595013;0,0335383;0,0081094;3,2868719;3,2042711;0,0222146;0,2674471;0,255634;2,1657685;0,8411077;0,3445538;2,5687929;0,5045441
0;0,6079811;0,2557447;0,0955213;0,0714797;5,6541697;4,8561891;-0,0250317;0,2055826;0,3652803;2,0843314;0,7288904;0,2187097;0,7188046;0,258767
0;0,6133737;0,2458583;0,0886088;0,0314877;7,6373555;7,4034275;0,0514622;0,1064586;0,046947;1,1580585;0,7051774;0,2725958;0,6760874;0,6024769
0;0,6184723;0,1571054;0,2521872;0,2239322;4,1924782;3,5813401;0,0240355;0,1756531;0,2983068;1,5304837;0,9549398;-99,99;1,4076991;0,1052025
0;0,6189301;0,2367024;0,1609074;0,1101086;6,6347224;6,614799;0,0582413;0,1477038;0,1957072;2,2191247;1,2805136;0,3217707;1,3411989;0,3666746
0;0,6217579;0,1827453;0,1369968;0,1024358;8,0694335;7,602944;0,0506111;0,1780885;0,2312944;2,0936048;0,7510716;0,3574515;0,4895063;0,4678715
0;0,6262413;0,15582;0,0818315;0,0418057;5,7916732;6,3992156;-0,2730399;0,0192874;-0,0073804;0,9371722;0,8477403;0,3944932;0,5049107;0,531647
0;0,6283859;0,2787142;0,2052145;0,1418997;5,2076026;4,5403155;0,0173371;0,1306029;0,2890463;1,6443758;1,0769309;0,1773637;0,2911872;0,1771726
0;0,6365287;0,3141833;0,2080651;0,1302397;8,8696566;8,6621849;-0,0168462;0,181162;0,0715735;1,2586751;0,4529751;0,2691177;0,595166;0,6332782
0;0,6409379;0,1381371;0,1498165;0,1075762;5,4085087;5,4041582;0,0267146;0,2304084;0,3389766;2,2347097;1,3917967;0,3029352;0,8586706;0,3747836
